2
0.02, 8.59, 0.00
0.00000, 0.00000, 0.00000, 1.00000
0.01, 8.58, -0.01
0.00000, -0.73728, 0.00000, 0.67559
-0.02, 8.57, -0.03
0.00000, -0.73728, 0.00000, 0.67559
0.05, 8.60, 0.02
0.00000, -0.73728, 0.00000, 0.67559
0.09, 8.61, 0.02
0.00000, -0.73728, 0.00000, 0.67559
0.11, 8.61, 0.02
0.00000, -0.73728, 0.00000, 0.67559
0.01, 8.58, 0.00
0.00000, -0.73728, 0.00000, 0.67559
-0.02, 8.57, -0.03
0.00000, -0.73728, 0.00000, 0.67559
0.04, 8.60, 0.01
0.00000, -0.73728, 0.00000, 0.67559
0.06, 8.59, 0.00
0.00000, -0.73728, 0.00000, 0.67559
0.10, 8.60, -0.02
0.00000, -0.73728, 0.00000, 0.67559
0.00, 8.69, -0.03
0.00000, -0.73728, 0.00000, 0.67559
-0.02, 8.55, -0.09
0.00000, -0.73728, 0.00000, 0.67559
0.04, 8.57, -0.09
0.00000, -0.73728, 0.00000, 0.67559
0.03, 8.49, -0.08
0.00000, -0.73728, 0.00000, 0.67559
-0.01, 8.56, -0.09
0.00000, -0.73728, 0.00000, 0.67559
0.06, 8.58, -0.08
0.00000, -0.73728, 0.00000, 0.67559
0.02, 8.52, -0.11
0.00000, -0.73728, 0.00000, 0.67559
0.04, 8.60, -0.01
0.00000, -0.73728, 0.00000, 0.67559
0.07, 8.59, -0.03
0.00000, -0.73728, 0.00000, 0.67559
0.03, 8.55, -0.11
0.00000, -0.73728, 0.00000, 0.67559
-0.02, 8.55, -0.11
0.00000, -0.73728, 0.00000, 0.67559
0.05, 8.59, -0.05
0.00000, -0.73728, 0.00000, 0.67559
0.07, 8.58, -0.07
0.00000, -0.73728, 0.00000, 0.67559
-0.02, 8.58, -0.06
0.00000, -0.73728, 0.00000, 0.67559
0.06, 8.59, -0.03
0.00000, -0.73728, 0.00000, 0.67559
0.05, 8.56, -0.01
0.00000, -0.73728, 0.00000, 0.67559
0.05, 8.58, -0.05
0.00000, -0.73728, 0.00000, 0.67559
0.04, 8.58, -0.05
